lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
smith_machine_front_squat,Smith Machine Front Squat,multiplier,standard,smith_machine,legs,back,,,,Smith Machine Front Squat
smith_machine_hip_thrust,Smith Machine Hip Thrust,multiplier,standard,smith_machine,glutes,,,,,Smith Machine Hip Thrust
smith_machine_incline_bench_press,Smith Machine Incline Bench Press,multiplier,standard,smith_machine,chest,triceps,,,,Smith Machine Incline Bench Press
smith_machine_one_handed_row,Smith Machine One-Handed Row,multiplier,standard,smith_machine,back,,,,,Smith Machine One-Handed Row
smith_machine_reverse_grip_bench_press,Smith Machine Reverse Grip Bench Press,multiplier,standard,smith_machine,chest,,,,,Smith Machine Reverse Grip Bench Press
smith_machine_squat,Smith Machine Squat,multiplier,standard,smith_machine,legs,back,,,,Smith Machine Squat
snatch,Snatch,multiplier,standard,barbell,back,,,,,Snatch
snatch_grip_behind_the_neck_press,Snatch Grip Behind the Neck Press,multiplier,standard,barbell,shoulders,,,,,Snatch Grip Behind the Neck Press
snatch_grip_deadlift,Snatch Grip Deadlift,multiplier,standard,barbell,glutes,back,,,,Snatch Grip Deadlift
spider_curl,Spider Curl,multiplier,standard,machine,biceps,,,,,Spider Curl
split_jerk,Split Jerk,multiplier,standard,machine,legs,shoulders,,,,Split Jerk
squats,Squats,multiplier,standard,barbell,legs,back,,,,Squat
squat_jerk,Squat Jerk,multiplier,standard,barbell,quads,shoulders,,,,Squat Jerk
stiff_legged_deadlift,Stiff-Legged Deadlift,multiplier,standard,barbell,glutes,,,,,Stiff-Legged Deadlift
straight_arm_lat_pulldown,Straight Arm Lat Pulldown,multiplier,standard,cable machine,back,,,,,Straight Arm Lat Pulldown
standing_cable_leg_extension,Standing Cable Leg Extension,multiplier,standard,cable machine,quads,,,,,Standing Cable Leg Extension
standing_calf_raise,Standing Calf Raise,multiplier,standard,machine,calves,,,,,Standing Calf Raise
standing_glute_kickback_in_machine,Standing Glute Kickback in Machine,multiplier,standard,machine,glutes,,,,,Standing Glute Kickback in Machine
standing_glute_push_down,Standing Glute Push Down,multiplier,standard,machine,glutes,,,,,Standing Glute Push Down
standing_hip_abduction_against_band,Standing Hip Abduction Against Band,multiplier,standard,band,abductors,,,,,Standing Hip Abduction Against Band
standing_hip_flexor_raise,Standing Hip Flexor Raise,multiplier,standard,machine,quads,,,,,Standing Hip Flexor Raise
step_up,Step Up,multiplier,standard,machine,quads,,,,,Step Up
sumo_deadlift,Sumo Deadlift,multiplier,standard,barbell,hamstrings,back,,,,Sumo Deadlift
sumo_squat,Sumo Squat,multiplier,standard,barbell,legs,back,,,,Sumo Squat
superman_raise,Superman Raise,multiplier,standard,machine,back,,,,,Superman Raise
